time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.1107604843030206e-05,9.03837314590378e-06,10.004768054004183,0.002431355139052016,0.007007177128368625,0.0,-0.0018463786782215103,0.0005528848109471343,0.1589233991803337,0.015923194827245118,-0.030222423423859474,0.0,456.4134061350165,453.9954215962493,454.58318737104645,455.85705433609724
0.12000000000000001,-0.0003101383100916191,0.00010386230860750513,10.020091617651987,0.0034379453640145385,0.008202616440592614,0.0,-0.007572137175162488,0.002728916479281053,0.351820619159615,0.011969280296880274,-0.012383234651279053,0.0,465.0862102156886,466.48101280086445,465.360933125062,465.05126963391297
0.18,-0.0009945179645728139,0.00035108330127228536,10.046877554503087,0.004155302903399161,0.016594029022624746,0.0,-0.016246310837248343,0.00559685140407914,0.5409614252145493,0.009609925269077902,-0.046712907414462566,0.0,466.42208927672544,463.7335569571116,464.00714716827514,463.82179032027705
0.23999999999999996,-0.002353566464410191,0.000799608063075125,10.085374855145451,0.007111561813219147,0.014687714131177643,0.0,-0.028819761569970362,0.009720535472630723,0.7421743047249459,-0.008531086502604746,-0.03747208338773171,0.0,468.15554476647435,468.87293932058236,468.7507595607285,467.33905304578656
0.3,-0.004371203640547789,0.0015428641886359796,10.13228501044168,0.012231967330293969,0.013235115598249969,0.0,-0.038281853323083107,0.015536251966960969,0.8214413094412475,0.016294181964376098,-0.028827076652824614,0.0,430.9562585516523,431.6857143777035,429.388655231371,431.48926085173736
0.36000000000000004,-0.006970898684902419,0.0027345146819668805,10.184537796119603,0.014277146058492285,0.021559802810964257,0.0,-0.04918715734010982,0.024382188612385544,0.9202275561692622,0.026475832228018005,0.004728554086663613,0.0,436.03252022360675,438.82645823420546,436.67191632385516,437.5203055692185
0.4200000000000001,-0.010330615848377061,0.004475614697582356,10.240832211984591,0.01712061708094126,0.022977145044301928,0.0,-0.06292432957770282,0.03392959198851003,0.9562159887706767,0.0129456718595693,0.015253558375200014,0.0,415.8309383586919,416.7516921894948,418.391353894322,417.211913617158
0.48000000000000015,-0.014569726360350161,0.0068463176284351045,10.299870886453531,0.018361304859244143,0.02802744862015416,0.0,-0.07888268320169489,0.04520501361964391,1.011676851243622,0.019303001854597553,-0.00825451059711191,0.0,424.8980826033589,422.87810095658097,422.9850855804733,423.532061211599
0.5400000000000001,-0.01994946015315759,0.009980829215694664,10.365540796750304,0.019846265866630297,0.03060899622751112,0.0,-0.10074884568450129,0.05944981519975495,1.1771506696146028,0.011726923239603051,-0.02870702966688836,0.0,459.9667341369059,458.34442171895535,457.90808392167224,457.30499147465923
0.6000000000000002,-0.026641309143097282,0.013961306524786004,10.43884685861685,0.02223273576701157,0.03746472580033089,0.0,-0.12296738857027024,0.07348529765502056,1.2662612768579098,-0.0037342738595084564,0.0021992710381958085,0.0,434.08312408369505,436.66866879995627,435.26992424865585,433.9741355743462
0.6600000000000003,-0.03492310573436564,0.018907510458345145,10.521241053820004,0.022772506015651395,0.03760584770640918,0.0,-0.1531037725336955,0.09143631837630815,1.4799556859588296,0.004714576915675908,-0.0005943083442199649,0.0,473.5798533246149,473.3649235751546,473.0157998150707,473.6659448857825
0.7200000000000003,-0.044975403223775356,0.024929294090211045,10.615375765208913,0.025864753193975965,0.03760672891268069,0.0,-0.18196877267821343,0.10961530287513829,1.657616540668536,0.021914706424199522,-0.004207668407558318,0.0,463.35843260938833,463.0743457955441,462.61493479348576,463.9670850087152
0.7800000000000004,-0.05677637781719258,0.03211865189769935,10.720601030090855,0.027457493878285888,0.037831368801788834,0.0,-0.21140558446318397,0.1302005770139138,1.8495928693049266,0.026612345335682117,0.0022534543405488407,0.0,467.5975080599705,468.1005716599313,468.1023848519922,468.4678002025374
0.8400000000000004,-0.07016312019492532,0.040455136159251365,10.832152659766761,0.034122332991105786,0.04080631418108549,0.0,-0.23510446616701217,0.14830413131045084,1.868729752315801,0.0007219666112810164,-0.017445386609717957,0.0,415.3933225837559,413.6624281432552,414.96518023373955,412.68634279614355
0.9000000000000005,-0.08516602367533589,0.05010255263086649,10.948494407690635,0.034653835955817947,0.041476506450489836,0.0,-0.26504212478621525,0.17333443654930697,2.009083117434904,-0.008225365322810235,-0.0042415891407943844,0.0,452.74287381431765,453.80402098125705,453.5714154122257,452.85236368452587
0.9600000000000005,-0.10194396942158786,0.06119339386015506,11.07075181924375,0.040566737289081445,0.06164710319982003,0.0,-0.29610020656256253,0.1968924142638165,2.0659405507355064,0.01832734487674438,0.044080622495418206,0.0,425.70852540012885,429.82330999976585,425.9562394363321,428.22082823931066
1.0200000000000005,-0.12090461264136053,0.07381092817926622,11.196208051809446,0.048586705452390966,0.06446529810171242,0.0,-0.3361805670009989,0.22441912307727796,2.115784805822881,0.0459695429905431,0.0475966738808006,0.0,425.5358915040108,425.8380398727185,424.34508053292404,426.7115388658507
1.0800000000000005,-0.14233936865850846,0.08822762610522984,11.324860599096002,0.051624333297398906,0.06737317702242329,0.0,-0.3785884287769723,0.2564154881321366,2.172483754602088,0.05068326542536056,0.04362332438234035,0.0,428.4604766485438,428.1239075544664,427.8602054885567,428.2627759353999
1.1400000000000006,-0.16649040665430484,0.10469809617690554,11.45830153852522,0.05547210116422363,0.07510064385420723,0.0,-0.4272525289860867,0.29296957806400226,2.275254010351168,0.05939524071085125,0.017631043573465593,0.0,443.95029802413626,441.8131167882858,443.38452277363774,444.10156404164036
